Submission id,prolificid,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad42ba91b1e921d6e0e7e2,5f4cbdf9f599118d27c21442,APPROVED,2023-07-11T11:53:32.644000Z,2023-07-11T12:11:56.721000Z,2023-07-13T17:17:57.593000,2023-07-11T12:11:57.349825Z,1105,NOCODE,1639,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad42bbcf2fcd42447e97fd,5c18259881976400016c9eca,APPROVED,2023-07-11T11:54:11.719000Z,2023-07-11T12:15:14.933000Z,2023-07-13T17:17:57.768000,2023-07-11T12:15:16.326843Z,1264,NOCODE,975,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad42cd3395770fab5739e4,613f3901a7197bb325d10864,APPROVED,2023-07-11T11:53:54.464000Z,2023-07-11T12:16:01.687000Z,2023-07-13T17:17:58.047000,2023-07-11T12:16:07.643873Z,1328,NOCODE,593,"English, Spanish",25,Female,White,United States,United States,United States,English,No,Full-Time
64ad42d0dc3fd95462ff6e42,5fe09bdac64c969d92d21898,APPROVED,2023-07-11T11:54:20.447000Z,2023-07-11T12:38:42.686000Z,2023-07-13T17:17:58.215000,2023-07-11T12:38:43.104825Z,2663,NOCODE,60,"Afrikaans, English",33,Male,Black,South Africa,South Africa,South Africa,English,No,Other
64ad42e2f4137ad2a543b13b,561fcb95ed6e5a000bc7eaa2,APPROVED,2023-07-11T11:54:38.665000Z,2023-07-11T12:27:39.672000Z,2023-07-13T17:17:58.328000,2023-07-11T12:27:40.122592Z,1982,NOCODE,1364,"English, Dutch",28,Male,White,Netherlands,Netherlands,Netherlands,English,DATA_EXPIRED,DATA_EXPIRED
64ad42e4728331aa7c7ed888,5f7f239e9b204e05b6c36538,APPROVED,2023-07-11T11:54:27.690000Z,2023-07-11T12:48:55.609000Z,2023-07-13T17:17:58.451000,2023-07-11T12:48:56.112024Z,3268,NOCODE,308,English,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad42e56823978133f1f922,5f97f80e8279d602b5dfd6b1,APPROVED,2023-07-11T11:54:13.771000Z,2023-07-11T13:09:53.338000Z,2023-07-13T17:17:58.571000,2023-07-11T13:09:55.186570Z,4540,NOCODE,312,English,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64ad42e89eb6469e774ce503,60721c2da01b3a616edba9a7,APPROVED,2023-07-11T11:54:32.205000Z,2023-07-11T12:37:42.917000Z,2023-07-13T17:17:59.022000,2023-07-11T12:37:43.432315Z,2591,NOCODE,285,English,44,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad42eb467f7576921d15be,638e2eed82fa613f2140ba13,APPROVED,2023-07-11T11:54:27.720000Z,2023-07-11T12:31:30.687000Z,2023-07-13T17:17:59.153000,2023-07-11T12:31:31.288238Z,2223,NOCODE,402,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
64ad42ed319f5b89196a4490,5aabf4e3ef1cff000182aeb4,APPROVED,2023-07-11T11:54:26.555000Z,2023-07-11T12:28:17.040000Z,2023-07-13T17:17:59.267000,2023-07-11T12:28:17.532439Z,2031,NOCODE,1338,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
